LICENCE CODE,LICENSE DESCRIPTION,YEAR,WEEK,AVERAGE DAYS TO ISSUE LICENSE,MEDIAN DAYS TO ISSUE LICENSE,TOTAL LICENSES ISSUED
1006,Retail Food Establishment,2022,02/14/2022 - 02/20/2022,71.9,22,40
1010,Limited Business License,2022,02/07/2022 - 02/13/2022,20.1,1,49
1006,Retail Food Establishment,2022,02/07/2022 - 02/13/2022,46.56,19,25
1275,Filling Station,2022,01/31/2022 - 02/06/2022,100,100,2
1010,Limited Business License,2022,01/31/2022 - 02/06/2022,1.32,1,50
1009,Manufacturing Establishments,2022,01/31/2022 - 02/06/2022,47,47,1
1006,Retail Food Establishment,2022,01/31/2022 - 02/06/2022,108.7,45,27
1275,Filling Station,2022,01/24/2022 - 01/30/2022,12,12,2
1010,Limited Business License,2022,01/24/2022 - 01/30/2022,4.49,1,86
1006,Retail Food Establishment,2022,01/24/2022 - 01/30/2022,60.26,50,39
1010,Limited Business License,2022,01/17/2022 - 01/23/2022,33.35,1,60
1006,Retail Food Establishment,2022,01/17/2022 - 01/23/2022,80,29,35
1275,Filling Station,2022,01/10/2022 - 01/16/2022,28.67,26,3
1010,Limited Business License,2022,01/10/2022 - 01/16/2022,3.31,1,59
1009,Manufacturing Establishments,2022,01/10/2022 - 01/16/2022,57,78,5
1006,Retail Food Establishment,2022,01/10/2022 - 01/16/2022,116.89,34,27
1010,Limited Business License,2022,01/03/2022 - 01/09/2022,1.3,1,46
1009,Manufacturing Establishments,2022,01/03/2022 - 01/09/2022,1,1,1
1006,Retail Food Establishment,2022,01/03/2022 - 01/09/2022,66.92,25,26
1275,Filling Station,2021,12/27/2021 - 01/02/2022,46,46,1
1010,Limited Business License,2021,12/27/2021 - 01/02/2022,10.9,1,31
1006,Retail Food Establishment,2021,12/27/2021 - 01/02/2022,48.95,13,42
1275,Filling Station,2021,12/20/2021 - 12/26/2021,8,8,1
1010,Limited Business License,2021,12/20/2021 - 12/26/2021,17.16,1,45
1006,Retail Food Establishment,2021,12/20/2021 - 12/26/2021,37.43,14,35
1275,Filling Station,2021,12/13/2021 - 12/19/2021,144,144,2
1010,Limited Business License,2021,12/13/2021 - 12/19/2021,14.06,1,52
1009,Manufacturing Establishments,2021,12/13/2021 - 12/19/2021,40,40,2
1006,Retail Food Establishment,2021,12/13/2021 - 12/19/2021,46.55,22,29
1275,Filling Station,2021,12/06/2021 - 12/12/2021,36,36,3
1010,Limited Business License,2021,12/06/2021 - 12/12/2021,2.73,1,51
1009,Manufacturing Establishments,2021,12/06/2021 - 12/12/2021,72.33,60,3
1006,Retail Food Establishment,2021,12/06/2021 - 12/12/2021,55.35,24,46
1010,Limited Business License,2021,11/29/2021 - 12/05/2021,2.32,1,41
1006,Retail Food Establishment,2021,11/29/2021 - 12/05/2021,134.44,68,34
1010,Limited Business License,2021,11/22/2021 - 11/28/2021,21.68,1,50
1009,Manufacturing Establishments,2021,11/22/2021 - 11/28/2021,149,149,1
1006,Retail Food Establishment,2021,11/22/2021 - 11/28/2021,66.32,17,34
1275,Filling Station,2021,11/15/2021 - 11/21/2021,17,17,1
1010,Limited Business License,2021,11/15/2021 - 11/21/2021,1.6,1,60
1009,Manufacturing Establishments,2021,11/15/2021 - 11/21/2021,43,43,1
1006,Retail Food Establishment,2021,11/15/2021 - 11/21/2021,73.68,51,62
1275,Filling Station,2021,11/08/2021 - 11/14/2021,15.4,17,5
1010,Limited Business License,2021,11/08/2021 - 11/14/2021,6.08,1,65
1009,Manufacturing Establishments,2021,11/08/2021 - 11/14/2021,23,23,1
1006,Retail Food Establishment,2021,11/08/2021 - 11/14/2021,28.96,14,28
1010,Limited Business License,2021,11/01/2021 - 11/07/2021,5.48,1,67
1009,Manufacturing Establishments,2021,11/01/2021 - 11/07/2021,27,27,2
1006,Retail Food Establishment,2021,11/01/2021 - 11/07/2021,56.1,28,30
1010,Limited Business License,2021,10/25/2021 - 10/31/2021,3.4,1,65
1006,Retail Food Establishment,2021,10/25/2021 - 10/31/2021,39.63,21,19
1010,Limited Business License,2021,10/18/2021 - 10/24/2021,2.39,1,62
1009,Manufacturing Establishments,2021,10/18/2021 - 10/24/2021,216.67,275,6
1006,Retail Food Establishment,2021,10/18/2021 - 10/24/2021,26.07,14,28
1275,Filling Station,2021,10/11/2021 - 10/17/2021,61,61,3
1010,Limited Business License,2021,10/11/2021 - 10/17/2021,8.26,1,57
1006,Retail Food Establishment,2021,10/11/2021 - 10/17/2021,52.59,27,27
1275,Filling Station,2021,10/04/2021 - 10/10/2021,99,99,3
1010,Limited Business License,2021,10/04/2021 - 10/10/2021,7.34,1,65
1006,Retail Food Establishment,2021,10/04/2021 - 10/10/2021,38.24,27,41
1275,Filling Station,2021,09/27/2021 - 10/03/2021,6,6,1
1010,Limited Business License,2021,09/27/2021 - 10/03/2021,8.06,1,115
1006,Retail Food Establishment,2021,09/27/2021 - 10/03/2021,34.72,33,50
1275,Filling Station,2021,09/20/2021 - 09/26/2021,8,8,1
1010,Limited Business License,2021,09/20/2021 - 09/26/2021,8.81,1,52
1009,Manufacturing Establishments,2021,09/20/2021 - 09/26/2021,23.33,21,3
1006,Retail Food Establishment,2021,09/20/2021 - 09/26/2021,54.33,49,33
1275,Filling Station,2021,09/13/2021 - 09/19/2021,21,21,1
1010,Limited Business License,2021,09/13/2021 - 09/19/2021,10.93,1,61
1006,Retail Food Establishment,2021,09/13/2021 - 09/19/2021,71.21,23,38
1010,Limited Business License,2021,09/06/2021 - 09/12/2021,10.28,1,64
1009,Manufacturing Establishments,2021,09/06/2021 - 09/12/2021,41,41,2
1006,Retail Food Establishment,2021,09/06/2021 - 09/12/2021,126.15,21,39
1275,Filling Station,2021,08/30/2021 - 09/05/2021,21,21,3
1010,Limited Business License,2021,08/30/2021 - 09/05/2021,4.08,1,96
1009,Manufacturing Establishments,2021,08/30/2021 - 09/05/2021,"1,866","1,866",2
1006,Retail Food Establishment,2021,08/30/2021 - 09/05/2021,58.63,19,51
1010,Limited Business License,2021,08/23/2021 - 08/29/2021,2.28,1,99
1006,Retail Food Establishment,2021,08/23/2021 - 08/29/2021,69.47,30,32
1275,Filling Station,2021,08/16/2021 - 08/22/2021,32,32,4
1010,Limited Business License,2021,08/16/2021 - 08/22/2021,3.05,1,59
1006,Retail Food Establishment,2021,08/16/2021 - 08/22/2021,31.65,18,20
1010,Limited Business License,2021,08/09/2021 - 08/15/2021,3.21,1,76
1006,Retail Food Establishment,2021,08/09/2021 - 08/15/2021,63.57,18,30
1275,Filling Station,2021,08/02/2021 - 08/08/2021,10,10,4
1010,Limited Business License,2021,08/02/2021 - 08/08/2021,1.12,1,49
1009,Manufacturing Establishments,2021,08/02/2021 - 08/08/2021,23.4,7,5
1006,Retail Food Establishment,2021,08/02/2021 - 08/08/2021,38.68,27,31
1010,Limited Business License,2021,07/26/2021 - 08/01/2021,5.91,1,67
1009,Manufacturing Establishments,2021,07/26/2021 - 08/01/2021,32,32,5
1006,Retail Food Establishment,2021,07/26/2021 - 08/01/2021,63.14,13,44
1010,Limited Business License,2021,07/19/2021 - 07/25/2021,5.67,1,61
1009,Manufacturing Establishments,2021,07/19/2021 - 07/25/2021,41.25,22,4
1006,Retail Food Establishment,2021,07/19/2021 - 07/25/2021,47.54,21,26
1010,Limited Business License,2021,07/12/2021 - 07/18/2021,1.71,1,58
1006,Retail Food Establishment,2021,07/12/2021 - 07/18/2021,49.21,24,43
1010,Limited Business License,2021,07/05/2021 - 07/11/2021,4.5,1,66
1009,Manufacturing Establishments,2021,07/05/2021 - 07/11/2021,13,16,3
1006,Retail Food Establishment,2021,07/05/2021 - 07/11/2021,92.79,24,39
1010,Limited Business License,2021,06/28/2021 - 07/04/2021,3.22,1,58
1006,Retail Food Establishment,2021,06/28/2021 - 07/04/2021,54.67,28,21
1010,Limited Business License,2021,06/21/2021 - 06/27/2021,4.14,1,66
1009,Manufacturing Establishments,2021,06/21/2021 - 06/27/2021,33.08,15,12
1006,Retail Food Establishment,2021,06/21/2021 - 06/27/2021,96.28,22,29
1275,Filling Station,2021,06/14/2021 - 06/20/2021,12,12,3
1010,Limited Business License,2021,06/14/2021 - 06/20/2021,4.25,1,76
1006,Retail Food Establishment,2021,06/14/2021 - 06/20/2021,60.1,21,29
1275,Filling Station,2021,06/07/2021 - 06/13/2021,5.67,1,9
1010,Limited Business License,2021,06/07/2021 - 06/13/2021,3.87,1,23
1006,Retail Food Establishment,2021,06/07/2021 - 06/13/2021,61.84,21,38
1010,Limited Business License,2021,05/31/2021 - 06/06/2021,1.46,1,39
1006,Retail Food Establishment,2021,05/31/2021 - 06/06/2021,56.3,42,46
1010,Limited Business License,2021,05/24/2021 - 05/30/2021,1.32,1,50
1006,Retail Food Establishment,2021,05/24/2021 - 05/30/2021,33.29,29,17
1275,Filling Station,2021,05/17/2021 - 05/23/2021,11,11,6
1010,Limited Business License,2021,05/17/2021 - 05/23/2021,2.44,1,63
1009,Manufacturing Establishments,2021,05/17/2021 - 05/23/2021,14,14,1
1006,Retail Food Establishment,2021,05/17/2021 - 05/23/2021,103.97,43,37
1010,Limited Business License,2021,05/10/2021 - 05/16/2021,1.83,1,53
1009,Manufacturing Establishments,2021,05/10/2021 - 05/16/2021,50,50,1
1006,Retail Food Establishment,2021,05/10/2021 - 05/16/2021,87.96,90,47
1010,Limited Business License,2021,05/03/2021 - 05/09/2021,4.86,1,29
1009,Manufacturing Establishments,2021,05/03/2021 - 05/09/2021,12,12,1
1006,Retail Food Establishment,2021,05/03/2021 - 05/09/2021,65.2,28,15
1010,Limited Business License,2021,04/26/2021 - 05/02/2021,11.88,1,57
1006,Retail Food Establishment,2021,04/26/2021 - 05/02/2021,88.17,49,18
1275,Filling Station,2021,04/19/2021 - 04/25/2021,6,6,3
1010,Limited Business License,2021,04/19/2021 - 04/25/2021,4.89,1,45
1009,Manufacturing Establishments,2021,04/19/2021 - 04/25/2021,296.5,296,2
1006,Retail Food Establishment,2021,04/19/2021 - 04/25/2021,21.21,15,29
1275,Filling Station,2021,04/12/2021 - 04/18/2021,5,5,3
1010,Limited Business License,2021,04/12/2021 - 04/18/2021,2.64,1,73
1009,Manufacturing Establishments,2021,04/12/2021 - 04/18/2021,27.2,16,5
1006,Retail Food Establishment,2021,04/12/2021 - 04/18/2021,57.74,31,31
1010,Limited Business License,2021,04/05/2021 - 04/11/2021,1.71,1,87
1006,Retail Food Establishment,2021,04/05/2021 - 04/11/2021,45.57,18,37
1010,Limited Business License,2021,03/29/2021 - 04/04/2021,1.46,1,69
1006,Retail Food Establishment,2021,03/29/2021 - 04/04/2021,56.24,24,41
1275,Filling Station,2021,03/22/2021 - 03/28/2021,22,22,1
1010,Limited Business License,2021,03/22/2021 - 03/28/2021,2.01,1,69
1009,Manufacturing Establishments,2021,03/22/2021 - 03/28/2021,2,2,2
1006,Retail Food Establishment,2021,03/22/2021 - 03/28/2021,116.1,40,29
1010,Limited Business License,2021,03/15/2021 - 03/21/2021,5.06,1,70
1006,Retail Food Establishment,2021,03/15/2021 - 03/21/2021,130.06,22,18
1010,Limited Business License,2021,03/08/2021 - 03/14/2021,1.74,1,58
1009,Manufacturing Establishments,2021,03/08/2021 - 03/14/2021,27.5,27,2
1006,Retail Food Establishment,2021,03/08/2021 - 03/14/2021,75.22,15,41
1275,Filling Station,2021,03/01/2021 - 03/07/2021,53,53,4
1010,Limited Business License,2021,03/01/2021 - 03/07/2021,1.8,1,45
1006,Retail Food Establishment,2021,03/01/2021 - 03/07/2021,101.38,49,26
1010,Limited Business License,2021,02/22/2021 - 02/28/2021,5.76,1,55
1009,Manufacturing Establishments,2021,02/22/2021 - 02/28/2021,43,43,1
1006,Retail Food Establishment,2021,02/22/2021 - 02/28/2021,79.21,39,34
1010,Limited Business License,2021,02/15/2021 - 02/21/2021,7.46,1,41
1006,Retail Food Establishment,2021,02/15/2021 - 02/21/2021,80.81,14,16
1275,Filling Station,2021,02/08/2021 - 02/14/2021,11,11,3
1010,Limited Business License,2021,02/08/2021 - 02/14/2021,3.58,1,33
1006,Retail Food Establishment,2021,02/08/2021 - 02/14/2021,107.89,34,28
1010,Limited Business License,2021,02/01/2021 - 02/07/2021,74.16,1,62
1006,Retail Food Establishment,2021,02/01/2021 - 02/07/2021,42.76,14,33
1010,Limited Business License,2021,01/25/2021 - 01/31/2021,1.67,1,55
1006,Retail Food Establishment,2021,01/25/2021 - 01/31/2021,57.8,28,30
1010,Limited Business License,2021,01/18/2021 - 01/24/2021,5.71,1,34
1009,Manufacturing Establishments,2021,01/18/2021 - 01/24/2021,18,18,2
1006,Retail Food Establishment,2021,01/18/2021 - 01/24/2021,60.62,37,26
1275,Filling Station,2021,01/11/2021 - 01/17/2021,4,4,3
1010,Limited Business License,2021,01/11/2021 - 01/17/2021,10,1,67
1009,Manufacturing Establishments,2021,01/11/2021 - 01/17/2021,13,13,4
1006,Retail Food Establishment,2021,01/11/2021 - 01/17/2021,48.67,18,48
1010,Limited Business License,2021,01/04/2021 - 01/10/2021,5.65,1,60
1009,Manufacturing Establishments,2021,01/04/2021 - 01/10/2021,29,29,1
1006,Retail Food Establishment,2021,01/04/2021 - 01/10/2021,51.84,22,45
1010,Limited Business License,2020,12/28/2020 - 01/03/2021,2.04,2,53
1006,Retail Food Establishment,2020,12/28/2020 - 01/03/2021,39.33,35,30
1275,Filling Station,2020,12/21/2020 - 12/27/2020,21,21,3
1010,Limited Business License,2020,12/21/2020 - 12/27/2020,1.51,1,76
1009,Manufacturing Establishments,2020,12/21/2020 - 12/27/2020,42,42,2
1006,Retail Food Establishment,2020,12/21/2020 - 12/27/2020,41.46,41,13
1010,Limited Business License,2020,12/14/2020 - 12/20/2020,5.37,1,78
1009,Manufacturing Establishments,2020,12/14/2020 - 12/20/2020,33,34,4
1006,Retail Food Establishment,2020,12/14/2020 - 12/20/2020,52.04,38,26
1010,Limited Business License,2020,12/07/2020 - 12/13/2020,2.21,1,52
1006,Retail Food Establishment,2020,12/07/2020 - 12/13/2020,44.63,28,27
1010,Limited Business License,2020,11/30/2020 - 12/06/2020,1.98,1,100
1009,Manufacturing Establishments,2020,11/30/2020 - 12/06/2020,28.25, ,4
1006,Retail Food Establishment,2020,11/30/2020 - 12/06/2020,33.43,22,21
1275,Filling Station,2020,11/23/2020 - 11/29/2020,72.8,116,5
1010,Limited Business License,2020,11/23/2020 - 11/29/2020,8.3,2,44
1006,Retail Food Establishment,2020,11/23/2020 - 11/29/2020,62,15,19
1275,Filling Station,2020,11/16/2020 - 11/22/2020,36,36,1
1010,Limited Business License,2020,11/16/2020 - 11/22/2020,5.59,1,59
1006,Retail Food Establishment,2020,11/16/2020 - 11/22/2020,95,15,30
1275,Filling Station,2020,11/09/2020 - 11/15/2020,22.25,10,4
1010,Limited Business License,2020,11/09/2020 - 11/15/2020,7.3,2,109
1009,Manufacturing Establishments,2020,11/09/2020 - 11/15/2020,111,111,1
1006,Retail Food Establishment,2020,11/09/2020 - 11/15/2020,47.82,14,44
1010,Limited Business License,2020,11/02/2020 - 11/08/2020,3.47,1,152
1006,Retail Food Establishment,2020,11/02/2020 - 11/08/2020,65.42,48,31
1010,Limited Business License,2020,10/26/2020 - 11/01/2020,1.64,1,157
1006,Retail Food Establishment,2020,10/26/2020 - 11/01/2020,26.04,20,27
1275,Filling Station,2020,10/19/2020 - 10/25/2020,27.25,16,4
1010,Limited Business License,2020,10/19/2020 - 10/25/2020,1.31,1,129
1009,Manufacturing Establishments,2020,10/19/2020 - 10/25/2020,14,14,1
1006,Retail Food Establishment,2020,10/19/2020 - 10/25/2020,162.58,74,36
1010,Limited Business License,2020,10/12/2020 - 10/18/2020,7.05,1,153
1006,Retail Food Establishment,2020,10/12/2020 - 10/18/2020,75.38,50,26
1010,Limited Business License,2020,10/05/2020 - 10/11/2020,2.75,1,40
1009,Manufacturing Establishments,2020,10/05/2020 - 10/11/2020,30.33,30,3
1006,Retail Food Establishment,2020,10/05/2020 - 10/11/2020,108.86,27,22
1275,Filling Station,2020,09/28/2020 - 10/04/2020,34,34,3
1010,Limited Business License,2020,09/28/2020 - 10/04/2020,1.74,1,77
1009,Manufacturing Establishments,2020,09/28/2020 - 10/04/2020,29,29,1
1006,Retail Food Establishment,2020,09/28/2020 - 10/04/2020,93.89,32,37
1010,Limited Business License,2020,09/21/2020 - 09/27/2020,3.47,1,51
1006,Retail Food Establishment,2020,09/21/2020 - 09/27/2020,219.22,78,23
1010,Limited Business License,2020,09/14/2020 - 09/20/2020,4.41,1,56
1009,Manufacturing Establishments,2020,09/14/2020 - 09/20/2020,25,25,1
1006,Retail Food Establishment,2020,09/14/2020 - 09/20/2020,33,19,40
1010,Limited Business License,2020,09/07/2020 - 09/13/2020,2.65,1, 
1009,Manufacturing Establishments,2020,09/07/2020 - 09/13/2020,170,170,1
1006,Retail Food Establishment,2020,09/07/2020 - 09/13/2020,98,22,23
1010,Limited Business License,2020,08/31/2020 - 09/06/2020,3,1,53
1009,Manufacturing Establishments,2020,08/31/2020 - 09/06/2020,89,89,1
1006,Retail Food Establishment,2020,08/31/2020 - 09/06/2020,23.6, ,20
1275,Filling Station,2020,08/24/2020 - 08/30/2020,28,28,4
1010,Limited Business License,2020,08/24/2020 - 08/30/2020,5.16,1,43
1009,Manufacturing Establishments,2020,08/24/2020 - 08/30/2020,119,119,2
1006,Retail Food Establishment,2020,08/24/2020 - 08/30/2020,42.55,19,55
1275,Filling Station,2020,08/17/2020 - 08/23/2020,43,43,1
1010,Limited Business License,2020,08/17/2020 - 08/23/2020,1.83,1,47
1006,Retail Food Establishment,2020,08/17/2020 - 08/23/2020,56.83,21,12
1010,Limited Business License,2020,08/10/2020 - 08/16/2020,4.25,1,55
1006,Retail Food Establishment,2020,08/10/2020 - 08/16/2020,75.6,36,20
1010,Limited Business License,2020,08/03/2020 - 08/09/2020,1.16,1,50
1009,Manufacturing Establishments,2020,08/03/2020 - 08/09/2020,38,38,2
1006,Retail Food Establishment,2020,08/03/2020 - 08/09/2020,54.5,17,22
1010,Limited Business License,2020,07/27/2020 - 08/02/2020,3.96,1,46
1009,Manufacturing Establishments,2020,07/27/2020 - 08/02/2020,42.25,44,4
1006,Retail Food Establishment,2020,07/27/2020 - 08/02/2020,37.4,17,35
1010,Limited Business License,2020,07/20/2020 - 07/26/2020,1.63,1,54
1009,Manufacturing Establishments,2020,07/20/2020 - 07/26/2020,145,145,1
1006,Retail Food Establishment,2020,07/20/2020 - 07/26/2020,53.52,11,27
1010,Limited Business License,2020,07/13/2020 - 07/19/2020,1.6,1,35
1009,Manufacturing Establishments,2020,07/13/2020 - 07/19/2020,160,160,2
1006,Retail Food Establishment,2020,07/13/2020 - 07/19/2020,52.5,17,32
1010,Limited Business License,2020,07/06/2020 - 07/12/2020,1.91,1,33
1006,Retail Food Establishment,2020,07/06/2020 - 07/12/2020,201.78,146,18
1275,Filling Station,2020,06/29/2020 - 07/05/2020,55,55,1
1010,Limited Business License,2020,06/29/2020 - 07/05/2020,1.6,1,40
1006,Retail Food Establishment,2020,06/29/2020 - 07/05/2020,156.68,78,19
1010,Limited Business License,2020,06/22/2020 - 06/28/2020,1.76,1,46
1009,Manufacturing Establishments,2020,06/22/2020 - 06/28/2020,3,3,1
1006,Retail Food Establishment,2020,06/22/2020 - 06/28/2020,105.04,71,25
1010,Limited Business License,2020,06/15/2020 - 06/21/2020,1.58,1,36
1006,Retail Food Establishment,2020,06/15/2020 - 06/21/2020,84.48,41,25
1010,Limited Business License,2020,06/08/2020 - 06/14/2020,1,1,34
1009,Manufacturing Establishments,2020,06/08/2020 - 06/14/2020,23,23,2
1006,Retail Food Establishment,2020,06/08/2020 - 06/14/2020,65.2,21,10
1010,Limited Business License,2020,06/01/2020 - 06/07/2020,9.02,4,56
1009,Manufacturing Establishments,2020,06/01/2020 - 06/07/2020,73,73,2
1006,Retail Food Establishment,2020,06/01/2020 - 06/07/2020,67,43,9
1010,Limited Business License,2020,05/25/2020 - 05/31/2020,2.1,2,20
1009,Manufacturing Establishments,2020,05/25/2020 - 05/31/2020,1,1,1
1006,Retail Food Establishment,2020,05/25/2020 - 05/31/2020,46.2,54,5
1010,Limited Business License,2020,05/18/2020 - 05/24/2020,2.29,2,45
1006,Retail Food Establishment,2020,05/18/2020 - 05/24/2020,46.32,31,25
1010,Limited Business License,2020,05/11/2020 - 05/17/2020,5.21,2,33
1009,Manufacturing Establishments,2020,05/11/2020 - 05/17/2020,101,101,1
1006,Retail Food Establishment,2020,05/11/2020 - 05/17/2020,20.07,16,15
1010,Limited Business License,2020,05/04/2020 - 05/10/2020,8.23,1,39
1006,Retail Food Establishment,2020,05/04/2020 - 05/10/2020,113.3,15,10
1010,Limited Business License,2020,04/27/2020 - 05/03/2020,1.65,2,23
1006,Retail Food Establishment,2020,04/27/2020 - 05/03/2020,99.15,75,20
1275,Filling Station,2020,04/20/2020 - 04/26/2020,16,16,2
1010,Limited Business License,2020,04/20/2020 - 04/26/2020,4.44,1,27
1006,Retail Food Establishment,2020,04/20/2020 - 04/26/2020,39.69,16,13
1010,Limited Business License,2020,04/13/2020 - 04/19/2020,1.54,1,26
1009,Manufacturing Establishments,2020,04/13/2020 - 04/19/2020,32.38,29,8
1006,Retail Food Establishment,2020,04/13/2020 - 04/19/2020,44.58,21,12
1275,Filling Station,2020,04/06/2020 - 04/12/2020,23,23,1
1010,Limited Business License,2020,04/06/2020 - 04/12/2020,5.83,2,24
1009,Manufacturing Establishments,2020,04/06/2020 - 04/12/2020,8,8,1
1006,Retail Food Establishment,2020,04/06/2020 - 04/12/2020,163,189,6
1010,Limited Business License,2020,03/30/2020 - 04/05/2020,20.61,1,31
1006,Retail Food Establishment,2020,03/30/2020 - 04/05/2020,42.46,23,24
1010,Limited Business License,2020,03/23/2020 - 03/29/2020,7.86,5,51
1009,Manufacturing Establishments,2020,03/23/2020 - 03/29/2020,8,8,1
1006,Retail Food Establishment,2020,03/23/2020 - 03/29/2020,45.84,19,31
1010,Limited Business License,2020,03/16/2020 - 03/22/2020,5.04,1,27
1006,Retail Food Establishment,2020,03/16/2020 - 03/22/2020,85.92,40,13
1010,Limited Business License,2020,03/09/2020 - 03/15/2020,2.61,1,67
1009,Manufacturing Establishments,2020,03/09/2020 - 03/15/2020,33,33,2
1006,Retail Food Establishment,2020,03/09/2020 - 03/15/2020,83.83,32,40
1010,Limited Business License,2020,03/02/2020 - 03/08/2020,1.12,1,74
1009,Manufacturing Establishments,2020,03/02/2020 - 03/08/2020,7,7,1
1006,Retail Food Establishment,2020,03/02/2020 - 03/08/2020,98.1,21,29
1275,Filling Station,2020,02/24/2020 - 03/01/2020,20,20,1
1010,Limited Business License,2020,02/24/2020 - 03/01/2020,13.61,1,71
1009,Manufacturing Establishments,2020,02/24/2020 - 03/01/2020,3,3,2
1006,Retail Food Establishment,2020,02/24/2020 - 03/01/2020,45.36,19,33
1010,Limited Business License,2020,02/17/2020 - 02/23/2020,3.21,1,52
1006,Retail Food Establishment,2020,02/17/2020 - 02/23/2020,50.68,33,37
1010,Limited Business License,2020,02/10/2020 - 02/16/2020,3.37,1,63
1006,Retail Food Establishment,2020,02/10/2020 - 02/16/2020,229.5,34,28
1010,Limited Business License,2020,02/03/2020 - 02/09/2020,10.3,1,40
1009,Manufacturing Establishments,2020,02/03/2020 - 02/09/2020,4,4,1
1006,Retail Food Establishment,2020,02/03/2020 - 02/09/2020,128.63,86,24
1010,Limited Business License,2020,01/27/2020 - 02/02/2020, ,1,55
1006,Retail Food Establishment,2020,01/27/2020 - 02/02/2020,54,22,30
1010,Limited Business License,2020,01/20/2020 - 01/26/2020,5.27,1,55
1009,Manufacturing Establishments,2020,01/20/2020 - 01/26/2020,10,10,2
1006,Retail Food Establishment,2020,01/20/2020 - 01/26/2020,95.25,45,28
1010,Limited Business License,2020,01/13/2020 - 01/19/2020,7.73,1,83
1009,Manufacturing Establishments,2020,01/13/2020 - 01/19/2020,54.4,29,5
1006,Retail Food Establishment,2020,01/13/2020 - 01/19/2020,43.62, ,34
1275,Filling Station,2020,01/06/2020 - 01/12/2020,14,14,4
1010,Limited Business License,2020,01/06/2020 - 01/12/2020,9.49,1,74
1009,Manufacturing Establishments,2020,01/06/2020 - 01/12/2020,44,39,4
1006,Retail Food Establishment,2020,01/06/2020 - 01/12/2020,24.14,13,29
1010,Limited Business License,2019,12/30/2019 - 01/05/2020,1.58,1,52
1006,Retail Food Establishment,2019,12/30/2019 - 01/05/2020,89.59,55,17
1010,Limited Business License,2019,12/23/2019 - 12/29/2019,14,1,26
1006,Retail Food Establishment,2019,12/23/2019 - 12/29/2019,91.19,45,21
1275,Filling Station,2019,12/16/2019 - 12/22/2019,50,50,1
1010,Limited Business License,2019,12/16/2019 - 12/22/2019,1.46,1,63
1009,Manufacturing Establishments,2019,12/16/2019 - 12/22/2019,10,10,1
1006,Retail Food Establishment,2019,12/16/2019 - 12/22/2019,58.03,50,32
1010,Limited Business License,2019,12/09/2019 - 12/15/2019,2.61,1,61
1006,Retail Food Establishment,2019,12/09/2019 - 12/15/2019,79.27,27,49
1275,Filling Station,2019,12/02/2019 - 12/08/2019,132,132,1
1010,Limited Business License,2019,12/02/2019 - 12/08/2019,2.8,1,61
1006,Retail Food Establishment,2019,12/02/2019 - 12/08/2019,60.82,31,28
1010,Limited Business License,2019,11/25/2019 - 12/01/2019,6.5,1,54
1006,Retail Food Establishment,2019,11/25/2019 - 12/01/2019,57.57,34,23
1275,Filling Station,2019,11/18/2019 - 11/24/2019,121,121,1
1010,Limited Business License,2019,11/18/2019 - 11/24/2019,1.27,1,55
1009,Manufacturing Establishments,2019,11/18/2019 - 11/24/2019,18.5,18,2
1006,Retail Food Establishment,2019,11/18/2019 - 11/24/2019,60.13,30,23
1275,Filling Station,2019,11/11/2019 - 11/17/2019,16,16,1
1010,Limited Business License,2019,11/11/2019 - 11/17/2019,1.08,1,40
1009,Manufacturing Establishments,2019,11/11/2019 - 11/17/2019,20,20,1
1006,Retail Food Establishment,2019,11/11/2019 - 11/17/2019,87.78,17,37
1010,Limited Business License,2019,11/04/2019 - 11/10/2019,1.61,1,67
1006,Retail Food Establishment,2019,11/04/2019 - 11/10/2019,78.52,57,46
1275,Filling Station,2019,10/28/2019 - 11/03/2019,20,20,1
1010,Limited Business License,2019,10/28/2019 - 11/03/2019,13.67,1,75
1009,Manufacturing Establishments,2019,10/28/2019 - 11/03/2019,26,26,1
1006,Retail Food Establishment,2019,10/28/2019 - 11/03/2019,58.76,23,34
1010,Limited Business License,2019,10/21/2019 - 10/27/2019,3.54,1,52
1006,Retail Food Establishment,2019,10/21/2019 - 10/27/2019,59.28,25,25
1275,Filling Station,2019,10/14/2019 - 10/20/2019,6,6,1
1010,Limited Business License,2019,10/14/2019 - 10/20/2019,1.32,1,57
1006,Retail Food Establishment,2019,10/14/2019 - 10/20/2019,77.87,38,15
1275,Filling Station,2019,10/07/2019 - 10/13/2019,29,29,1
1010,Limited Business License,2019,10/07/2019 - 10/13/2019,12.03,1,79
1009,Manufacturing Establishments,2019,10/07/2019 - 10/13/2019,27,27,1
1006,Retail Food Establishment,2019,10/07/2019 - 10/13/2019,85.05,77,20
1275,Filling Station,2019,09/30/2019 - 10/06/2019,106,106,1
1010,Limited Business License,2019,09/30/2019 - 10/06/2019,1.67,1,69
1009,Manufacturing Establishments,2019,09/30/2019 - 10/06/2019, ,12,2
1006,Retail Food Establishment,2019,09/30/2019 - 10/06/2019,80.5,74,30
1275,Filling Station,2019,09/23/2019 - 09/29/2019,55,55,1
1010,Limited Business License,2019,09/23/2019 - 09/29/2019,1.35,1,68
1006,Retail Food Establishment,2019,09/23/2019 - 09/29/2019,49.39,29,36
1275,Filling Station,2019,09/16/2019 - 09/22/2019,47.5,47,2
